	VHL	CDKN2A_loss	PBRM1	SETD2	BAP1	MTOR	ATM	ARID1A	MLL3	CLTC	DIS3	PTEN	ACO1	EIF2C3	EIF4A2	MAX	NCOR1	NFE2L2	NUP98	SOX9	TBL1XR1	ZNF814	DHX15	ACTG1	ARHGAP26	ASH1L	BMPR2	CAD	CCAR1	COPS2	EGFR	EIF4G1	ELF1	FUS	HDAC9	IDH1	KEAP1	LPHN2	MET	MGA	PABPC1	PSMA6	RPL5	SHMT1	TCF12	TJP1	WHSC1L1
LPHN2	0.940821198829024	1.19244116719742	1.22558139874242	1	1	1.29068661421603	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1
MET	0.937094742734524	1.19084401908049	1.23216255649265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1
MGA	1.170516433079	1.18417305679927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.49296128707893	1	1	1	1	1	1.43582887700535	1	1	1	1	1	NA	1	1	1	1	1	1	1
PABPC1	0.935991257886167	1.65852734726787	1	1	1	1	1	1	1	1.34920530479157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1.39699780327069	1	1	1	1	1
PSMA6	1.17962371317004	1.19534306865763	1	1	1	1	1	1.3317871951648	1	1.35586672026442	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.39699780327069	NA	1	1	1	1	1
RPL5	1.1806231697097	1.19803413879342	1	1	1	1	1	1	1	1	1	1	1	1.39163074930695	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1
SHMT1	0.938362845138055	0.94817865783175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1
TCF12	1.17236968208723	1.61669633786013	1.63967589923288	1.26168732887778	1.29583059989795	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1
TJP1	0.936865603474792	0.949880067902016	1	1	1	1	1	1	1	1	1.3663268586123	1	1	1	1	1	1	1	1	1	1	1.4005956813105	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1
WHSC1L1	0.93941035181086	1.18109773244369	1	1.27202158790236	1	1	1	1	1	1	1	1	1	1	1.36914726904407	1	1.40860215053763	1	1	1	1.38065989447988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA
