	CDKN2A_loss	PTEN_loss	ANK3	BRAF	NRAS	SVEP1	PCDH18	ARID2	NF1	MECOM	TP53	PLCB1	AHNAK	MSR1	HDAC9	CDKN2A	MDM2_gain	ASPM	COL1A1	CDK4_gain	ARHGAP29	PTEN	PPP6C	CHD6	FN1	USP6	MAGI2	TCF4	ARID1B	NUP98	BPTF	CHD9	CTNNB1	DICER1	SYK	IDH1	EZH2	TRERF1	ARHGEF2	FCRL4	PTGS1	RASA2	BRWD1	MAP3K4	NFATC4	AFF4	BAZ2B	MAP2K1	NCOR1	ARFGEF2
TP53	1.16389801387851	1.07218828094836	0.924147657124835	0.910199637247076	1.0320070205737	0.978575311440973	0.984051062867769	0.958767405239128	1.04051644537842	1.05062858704564	NA	1.02609056803329	0.99830885616817	1.01907577787243	1.02431081839081	1.06302657584778	0.868480218639383	0.923560970479521	0.935771622470029	0.852765771949025	1.14548233946381	0.871822091338892	0.9281716150303	0.975250569990293	1.02575504302492	0.990894468238479	1.07531540875896	1.03434373847335	1.04682386629266	0.953890112983777	1.0121811040878	1.01298860666731	0.912431814178833	1.0609962477719	0.911642764470242	0.918172667758524	0.86480049388834	0.974723929095697	1.08991105176221	1.03728981303649	0.984110815570725	1.08782790800206	1.03514294395008	0.874107838673132	0.985785855373235	0.874950076304427	0.938156582544008	0.875328519107253	1.05414009537093	0.996611364014937
PLCB1	1.06058250987646	1.05072914372284	0.955784944527754	0.792041864102597	0.92129030595649	1.09379269663466	1.01449242526447	0.941553559614267	1.08618139751801	0.918821883846186	1.02609056803329	NA	1.00107494455037	0.995873393773201	0.941164349639333	1.00501145164593	0.845365248079127	1.03089234087344	0.909093501057782	0.869354441652956	0.98610380212152	0.84569340907872	0.896617700813305	0.941242570145379	0.947048487926566	0.995484874329002	1.10465531256815	0.996486926945111	1.04396786576683	1.08211397051234	1.0131624626453	0.924857471527298	0.97076692687814	1.01491444350755	0.924575505621919	0.851539167856944	0.93162687797277	1.02379952160403	1.03618739146125	0.989111217655784	0.987460188331652	1.03524079149249	0.988278238934388	0.940884568177023	0.940809485488375	1.00014314435409	0.947955908331112	0.946745152650055	0.948461642721605	1.09345265096069
AHNAK	1.17854129632788	0.941895292481413	0.995418421103823	0.858110463228801	0.98149798991397	0.937547419771449	1.0150931896579	1.01462022728118	0.945116538611703	1.05060266869897	0.99830885616817	1.00107494455037	NA	0.943744364525209	0.972449829344611	1.0343434467371	0.847854450308442	0.968516699833386	0.977822651433723	0.8719912817315	0.986605425993859	0.929616277715141	0.899030795073189	1.01715267393007	0.948531029806038	0.956351107907779	1.15843820888163	1.03166026932946	1.04395570182503	1.08055884890323	0.969719307500563	1.01347800299365	0.971931429308392	0.926625475184887	1.05416715766369	0.931634907920389	0.979238437498257	0.980483590584739	0.987680124748718	1.11510479717059	1.03524733521426	1.03432716757242	0.988389945867232	0.943240730840373	0.894238974680787	0.99959331590427	0.894750423269077	1.00052401145946	0.998483845423544	0.897528021455513
MSR1	1.02569005653475	0.809148413184697	0.864008957259339	0.661440184516351	0.925468187497394	0.913079059114449	0.98940789664705	0.941644024564371	0.968199069313948	0.916510867117968	1.01907577787243	0.995873393773201	0.943744364525209	NA	0.935995041682226	0.932655786087894	0.815874251409884	0.95529800934839	0.933437744714174	0.836782164545498	0.905777536051515	0.912640621818714	0.921452917815671	0.8841162856332	0.928500339252727	0.93669448162945	0.974691422051654	1.00900873736968	1.01581354000415	1.01669692065137	0.985099515599084	0.903465601673651	0.98614083750036	1.05978616090279	0.98630555678369	0.881200097584677	0.952791679323807	0.994827799164213	1.04334595262508	1.00275910877075	1.0407232512928	0.914634958445185	0.960841842439104	0.960927689609763	0.961920939670302	0.966031569748389	0.966001747233547	0.96654155986818	1.01084847462274	0.894365192081367
HDAC9	1.1432746325132	0.904810772371274	0.957877544980665	0.811625751224521	0.825214478364527	0.912404379586301	0.939034677019769	0.967569207489759	1.0706493395073	1.03011197394329	1.02431081839081	0.941164349639333	0.972449829344611	0.935995041682226	NA	1.02937883066179	0.90650212424406	0.955598605004377	0.965291531833287	0.891392668652087	1.00417464999732	0.842956811418952	0.917175775424182	0.875994636420583	1.0069156369086	0.932925313560887	0.974591605338402	0.975269245845579	0.980537618890218	0.979237792994397	0.893365797054822	0.942978173730718	0.987614839533638	0.987474058919322	0.987818734317495	0.871657399636862	0.950192976450402	0.99710163372981	0.956653155962031	1.04891259015409	1.00548662519649	1.00381435795789	1.04645600438927	0.959408826328338	0.883345342093015	0.911177788192647	0.911487861432959	0.881802319589482	0.963691150227366	1.01398203025467
CDKN2A	1.53618465018202	1.09347015567473	0.8654242485459	0.969447132767517	0.999560249095531	0.969314893248925	0.939638703177579	0.877850865196835	0.943140852985376	0.977558157879251	1.06302657584778	1.00501145164593	1.0343434467371	0.932655786087894	1.02937883066179	NA	0.901024233576985	0.955699496848071	0.926044835031397	0.883587047426382	1.00891838412562	0.901485474228714	0.95741486036487	1.04622804207732	1.05377491100601	0.850620421263827	0.974089503151443	1.05926467207832	0.880492060101118	0.981756732271225	0.937605187157828	0.939749784279372	0.885833956361727	1.08535799919669	0.989780798986563	0.858594271550361	0.946139965936977	0.947560753077173	1.11053941484314	0.898560650038987	1.05757086333488	1.06070474807144	0.956042783973132	1.05752533978411	0.9004340802413	0.90201749692983	0.902524510855903	1.02045381740197	0.963211601087893	0.964973537920752
MDM2_gain	1.55381621773339	1.38032571764363	0.802311685149024	1.12484387323868	0.754796390126624	0.957719269907621	0.853572696721279	0.78341620552303	0.78406551479806	0.778042563024907	0.868480218639383	0.845365248079127	0.847854450308442	0.815874251409884	0.90650212424406	0.901024233576985	NA	0.84030333270962	0.977838730916132	1.46541254337489	0.94349342674151	0.910031213940519	0.867960623059746	0.843312500660376	0.847888666791826	0.883884961886958	0.886893438720856	0.936759252027158	0.939475193041537	0.940463713493196	0.889711567372536	0.94662492168821	0.892262477266836	0.892109996112457	0.947538726444906	0.954205283477016	0.867272814520128	0.870337847552823	0.869159049248814	0.964222809807511	0.872153558233203	0.90499289731814	0.875572788904477	1.01899013299955	0.906822652103666	0.97260207460739	0.874662136944539	0.909366434745941	0.875047713148551	0.973139749017773
ASPM	1.10610949761561	1.0127835436848	0.962525736031931	0.658718571120295	1.00951755757257	0.877764710368698	1.02879512860659	0.939081970124332	1.03034936300842	0.907627211126843	0.923560970479521	1.03089234087344	0.968516699833386	0.95529800934839	0.955598605004377	0.955699496848071	0.84030333270962	NA	0.949259316532957	0.86197656499712	0.915679528328754	0.853125096342579	0.978641837300313	1.02230191196459	0.892869619814628	0.900478302937364	1.06995305530428	0.877760843697534	0.999422070225294	0.952728602336465	1.00716500152748	0.880458422053448	0.958261627554764	0.95880862922971	0.908101453058873	0.911928989569096	0.965007798234936	0.96678496100838	1.02420057155845	0.973305258741223	0.919569681936326	0.973370232364051	0.922450907583856	0.922827497598245	0.922262616936285	0.923330701556508	0.981644293862847	0.923491296574569	0.891947921834914	1.03429825977865
COL1A1	1.22898637499023	0.794162498670591	0.984970452628129	1.03572172394992	0.788361226046006	0.954351521131251	1.01164703944017	0.917826750276709	0.918886076425065	0.988802428579062	0.935771622470029	0.909093501057782	0.977822651433723	0.933437744714174	0.965291531833287	0.926044835031397	0.977838730916132	0.949259316532957	NA	0.916141205266231	0.964333565160472	0.976425493196201	0.892962716624173	0.988704484078701	0.993546235329559	1.08150228440182	0.957694625968631	1.00065339766787	1.00677687577878	1.00725022827316	0.885032134882792	0.966363467253032	1.01318262215344	1.0140588497052	0.96652949573257	0.972368337663984	1.02148131828058	0.924224226195164	0.925533757947881	0.927272822314222	0.927858592692828	1.03053034134779	0.982469866467765	0.901377985988014	0.929458595942495	0.988361863501259	0.899931211759169	1.03969551653663	1.04128499764306	0.934288854965431
CDK4_gain	1.44599427601688	1.30026016585573	0.745662736651865	1.06219306650915	0.741126896057166	0.890491476891414	0.880348836386393	0.784378815148578	0.806714991942795	0.77779792046754	0.852765771949025	0.869354441652956	0.8719912817315	0.836782164545498	0.891392668652087	0.883587047426382	1.46541254337489	0.86197656499712	0.916141205266231	NA	0.923243389463718	0.931763576098548	0.889228148487932	0.864042705405258	0.868516030694172	0.904631626469029	0.90742564752521	0.957335498980131	0.960285909002402	0.960754473559193	0.910031018077321	0.968777636335101	0.882487425978242	0.912199652845497	0.967737310450725	0.915860562418912	0.887271722844983	0.890945110485026	0.889351083559409	0.982868061131144	0.892465235077098	0.92515157352798	0.895851237734463	1.03756758889604	0.92638206792411	0.990475251488615	0.894908262269601	0.929097735636376	0.89463712104129	0.991322352503257
