	TP53	CDKN2A_loss	STK11_loss	EGFR_gain	PTEN_loss	FGFR1_gain	FAT1	CDKN2A	NOTCH1	MLL2	MDM2_gain	PIK3CA	NSD1	LAMA2	CASP8	MACF1	EP300	FBXW7	FAT2	KALRN	EPHA2	APC	HLA-A	RASA1	HRAS	NOTCH2	BAZ2B	FN1	ZNF750	ATR	ARID1B	SMARCA4	ARID2	CTCF	CUL3	CYLD	MYH9	NFE2L2	PBRM1	TGFBR2	ATM	SPTAN1	APAF1	BRCA1	EGFR	MEF2C	TRIO	HLA-B	MLL	MTOR
MDM2_gain	1.27904886629608	1.5333668956707	1.06290211891977	1.15188091170659	1.05879821505516	1.13217967235171	0.901984721752164	0.911313133519847	0.848631678421969	1.04547924861615	NA	0.959484746415009	1.03436417806497	1.05951649542832	0.849928443586026	0.911865245680682	0.92948186526913	0.958511657123286	0.857296913299755	1.04978534759786	0.988473705607833	1.04585065889264	1.0646865471443	1.0033211177279	0.831674663606011	0.881389944627502	0.883336085395604	0.960007758241266	1.10571244279149	0.974116110067772	0.893134986951618	0.892820949607113	0.975661447226506	0.976487757848009	0.991658922532848	0.853585142519569	0.8530321405943	1.08100790321007	0.993275315940489	0.85579159758903	0.863916430748578	0.914353833381368	0.871259897098401	1.1461728904477	0.871594901871719	1.04014659974291	0.928827208009375	0.929246952450545	0.882214070910031	0.947835644800778
PIK3CA	1.00628041562541	1.23628375720426	0.821699045003353	0.863641005705852	0.939627019020996	0.789581528346548	0.941162017567188	1.01328096194918	1.01108215959873	0.92485915602354	0.959484746415009	NA	0.920466434526648	0.917822514730493	0.923629257765655	0.983152808905632	1.05250594838631	0.869709794803917	0.943137043649572	0.886780124834732	0.889336506064283	0.953284505806486	0.891253490613442	0.959781888059006	1.08614341095297	0.907470046358935	0.983294322712182	0.90916861215399	0.910409850441177	0.995944562512105	1.0733450073399	0.918471402634299	1.07421489027099	0.995796584675744	1.09408151931029	0.925821214845142	0.925040549260812	1.01435304293499	0.878707438861935	0.927746888577951	1.12118008369597	0.939319332742471	1.253085170246	0.952230974567863	0.953140662489688	0.896855638664805	0.952082079312678	1.05538490930708	0.907465945596053	0.970545759417403
NSD1	1.06268015477262	1.20776746296099	0.923478543287455	1.05875647973349	0.89645390712657	0.90342407611805	0.955122772902625	0.897057631756459	0.848263390529394	0.929903307562882	1.03436417806497	0.920466434526648	NA	1.14340969076606	0.862347251522509	1.05162513574002	0.98338094339303	1.00586925142587	1.07619266994267	0.977285937653576	0.976935801284781	0.893127535868156	0.887246130094639	0.887348346190631	0.923790153953882	1.00628070448657	0.937027767783445	1.0049532707657	1.06731984431223	1.08922450728363	0.945271084290647	1.15351783063229	0.947535252132536	1.01547861693279	1.10937860937861	0.95299736856532	0.952089453123677	0.910025686560538	0.909943697970663	1.03215461004056	0.918804317353518	0.965362802367523	0.976389194416433	1.07204198888299	1.07193487214597	1.07106710456855	1.06908762374542	0.976012032359183	1.10037895573827	0.935317339811722
LAMA2	1.31107887805572	1.46315379965628	0.936082430809667	1.17333235169959	0.925469366294204	1.00769183899276	0.945139643492937	1.03226352528569	0.771336155395487	1.05243259604594	1.05951649542832	0.917822514730493	1.14340969076606	NA	0.886137585311094	0.898643581587787	1.07224157570785	1.03873019763374	0.903190592845341	0.940114340782414	0.942011309692992	0.945239192936854	0.945414601171699	0.945220774113814	0.91006901582314	0.918881116363466	1.03470612626789	1.1073611480202	1.03270349476797	0.968195996271056	0.926602595375159	0.968661958147939	0.928335804728861	0.929083559542075	1.06263833129505	0.978378487305619	1.14391635224969	0.977581570145683	1.06242286138177	0.932285200394741	0.940193253748789	0.988937857900831	0.946425844730929	1.00017834372487	1.00128275101704	1.00103650914093	1.20124205188595	1.00044791677978	0.956644936075316	1.01684264439366
CASP8	1.01630881730366	1.19025055073991	0.905157974124002	0.899197670133028	0.804219024551191	0.936815488572428	1.19974277590106	1.04350057288431	1.12975691345733	0.981267592437396	0.849928443586026	0.923629257765655	0.862347251522509	0.886137585311094	NA	0.954397102728183	1.07815082797485	1.15257267367467	0.938413149350649	1.00928804052963	1.23698454422665	0.913691949119757	1.15424979539371	0.947308671255857	1.35768878145048	0.919539073390434	0.921361272848411	0.921534474324961	0.924319437811285	0.925687223112546	0.97081565915539	0.971780737717327	1.05273490676062	1.05010428820305	0.932824608216952	0.978895748200572	0.9327652831136	0.980302157088753	0.932525540640897	1.06719792311395	0.990022581615362	1.0865276946239	0.948192333568857	1.00524583440944	1.00494639314149	0.948928985966023	1.21311817744925	1.10746416892884	1.02105366235801	1.13836274762279
MACF1	1.06899405876925	1.09231652589272	0.887182932488098	0.733342557841897	0.916446934739618	0.959797776139508	0.933465362846481	0.93845424039805	1.07083247781968	1.03714903694196	0.911865245680682	0.983152808905632	1.05162513574002	0.898643581587787	0.954397102728183	NA	0.979972526055842	0.937787142359241	1.1231629120398	0.953836350852522	0.920612582523788	1.07114759894809	0.921113605618398	0.957902003266726	0.959603346300077	0.932059874394719	0.973512994454049	1.04437787769608	1.04333861420476	0.980114247355627	1.05617779079685	1.05430292562356	0.941307346557527	0.941538630903851	0.987265388757472	1.07207723096191	0.943737780845175	1.07184262647446	1.07155029799273	0.989347720246647	0.952197349704275	1.08613292436822	1.01023658793929	0.958340265279269	0.959103517686624	0.958698134754473	1.01180639075941	1.10434004754727	1.02564774076402	0.968231265676521
EP300	0.942586426026324	0.881590035397819	0.988207004511352	0.861644029733012	0.849187738462058	0.993786840900248	1.04880211731623	0.968081898548137	0.969670300552653	1.02584406893702	0.92948186526913	1.05250594838631	0.98338094339303	1.07224157570785	1.07815082797485	0.979972526055842	NA	1.01030798411336	0.923175398380597	0.92526649250952	0.927863179610035	0.932093524358572	0.967603151859752	0.967842508800778	1.04263408884094	1.06340566806306	0.939922207596096	0.940264543923081	1.06161316506252	0.990634219731172	0.991990846681922	0.991431773716241	0.990790631051802	0.949025526494861	0.952248973394145	1.09005607356164	0.949809397770771	0.951180635783285	1.00154789406746	0.953146696711853	1.0091991018858	1.10373006696536	0.965786793542699	0.965545586034074	1.02672827385883	0.967549546067134	1.13279960024333	0.967622345163701	1.04018555154919	0.976025647575742
FBXW7	1.11243711639303	1.36763996138996	0.809302131152525	1.02382173834174	0.829701295576666	1.14130441962058	0.994958748946677	0.782221958886958	0.947317661465263	0.904180452684282	0.958511657123286	0.869709794803917	1.00586925142587	1.03873019763374	1.15257267367467	0.937787142359241	1.01030798411336	NA	1.04029505283831	0.978276982783569	1.04816562711198	0.981191111437905	0.98303740753474	1.05855180975245	0.983082241237735	0.996833299464878	0.954065529129931	0.995347267800731	0.996249468352473	0.95805444943376	0.9601101761392	0.960247008600809	0.961494575861305	1.00328823194677	1.01197651226344	0.964091620938022	0.964799527744238	0.964719217295787	1.01392838819602	0.965678481249415	0.973143196199733	1.02109784068315	0.980008752067576	0.979247387228918	0.980458002913093	0.979625541876538	1.03441645742304	0.980551874970068	1.04993656546306	1.04745516544582
FAT2	0.829521092291056	0.916638718974291	0.911323572743228	0.814294096636993	0.789797447906935	0.957114146042649	0.917533792029033	0.763711466884841	0.911085723648876	0.975413320044556	0.857296913299755	0.943137043649572	1.07619266994267	0.903190592845341	0.938413149350649	1.1231629120398	0.923175398380597	1.04029505283831	NA	1.0589432364754	1.05521331286812	0.955689090465627	0.95306262679144	0.99410017169993	0.954736502792007	0.96261897339832	0.964095416018493	0.964586783910285	1.00522535096832	1.01429416181413	1.09398071113552	0.969884766993975	0.971019004927085	1.01165340507585	1.02045568500735	0.973124810203462	0.97418391502062	0.973429674856043	1.10806946796029	1.18227037830635	0.981133288398677	1.11415915267879	0.988598324009795	0.987392223849032	0.987788460261015	0.987715992870632	0.98819965558163	1.04089651618503	0.9960258100502	1.05528466610941
KALRN	0.950334044025193	1.14284826340875	0.934390792721874	1.10387212566511	0.689971327906167	1.03683116593231	1.04263485820583	0.800357711615195	0.979489997308693	0.986694119693748	1.04978534759786	0.886780124834732	0.977285937653576	0.940114340782414	1.00928804052963	0.953836350852522	0.92526649250952	0.978276982783569	1.0589432364754	NA	0.99262229232232	0.958062142507047	0.955427770396739	1.07723402402696	0.956934119965878	0.965938798924185	1.00975296563532	1.01122393111343	1.00971110947236	1.01956693934966	1.01710909432456	0.971759706134706	0.973423000862025	1.09493125996597	0.977965196095209	0.976771732546516	0.975928768525117	0.976126615347359	0.976395154537641	0.978763937704521	0.984932484932485	0.984624281318241	0.992026335737749	0.992503171735035	0.991577712165947	0.992588742588743	0.992481817046339	0.993143062676825	1.06416002932649	1.17405661405057
EPHA2	0.950975375158802	1.14618334550767	0.933172961160858	0.967047494956909	0.935248312505083	0.908995381867987	1.04011236551764	0.869336187015745	0.919878094312954	0.869225974051985	0.988473705607833	0.889336506064283	0.976935801284781	0.942011309692992	1.23698454422665	0.920612582523788	0.927863179610035	1.04816562711198	1.05521331286812	0.99262229232232	NA	0.959248864005391	0.997235427255711	0.956588100542222	0.95846680745715	1.01008717405651	0.968405539033342	0.968513902951943	0.969309357019298	0.972579830872144	0.973786680753894	0.973147246065208	1.01588714462966	1.09072372896195	0.978666603666604	0.978819728819729	0.978322072072072	0.97754089518715	0.978158390949089	1.02485116202345	0.985439069036564	0.985058309037901	0.991184507488855	0.991773486651429	1.04714376190499	0.992585257289839	0.991920241920242	0.993445801261647	0.999902858129695	1.0604744294695
APC	1.03648310482916	1.14518641737625	0.79404016820562	0.761433093211089	1.00135862558282	0.845092124258884	0.873073838369763	0.993449527567804	0.922890997391852	0.987546172949871	1.04585065889264	0.953284505806486	0.893127535868156	0.945239192936854	0.913691949119757	1.07114759894809	0.932093524358572	0.981191111437905	0.955689090465627	0.958062142507047	0.959248864005391	NA	0.960997717011762	0.998236765516859	0.961998774260528	0.969118401211241	1.07736417398994	0.971157539933331	0.972170383252857	0.975099499600636	1.01495645907557	0.975684825712779	0.976093431700908	0.977784524814228	0.979745916347559	1.02432262165567	0.980134239335317	1.1036683598044	0.980238544192033	0.981232061707725	0.986869042754572	0.986958070297845	1.12905716942337	1.04104456321205	0.993186668953459	0.99385568368869	0.994627422926915	1.0387309504282	1	1
HLA-A	0.997375873825181	1.11349527992942	0.959886037210103	0.992006596331891	0.807759954666671	1.05899448978136	0.939878558576726	0.877371543760697	0.995018349461945	0.871281095419026	1.0646865471443	0.891253490613442	0.887246130094639	0.945414601171699	1.15424979539371	0.921113605618398	0.967603151859752	0.98303740753474	0.95306262679144	0.955427770396739	0.997235427255711	0.960997717011762	NA	0.958261583720805	1.00459208151516	1.01816738082932	0.968971193682871	1.10200857854441	1.0152685952449	1.02736444886534	0.974936229973346	1.02452699974904	1.1094124042907	0.975545499628068	0.979721868465324	1.03541979010495	0.979816354816355	0.981158151283562	0.981017689319998	0.980968254219388	1.04345660854549	1.04270371537232	0.995733507537892	1.05251842751843	0.996067361390398	1.05761192881686	1.06020846427823	1.15579360221554	1	1
RASA1	1.34998639272491	1.40849315897285	0.960232230309951	1.13959841771714	1.02383420214894	0.850845157671358	1.00279250575109	1.20662404590646	0.993725868725869	0.937362995960273	1.0033211177279	0.959781888059006	0.887348346190631	0.945220774113814	0.947308671255857	0.957902003266726	0.967842508800778	1.05855180975245	0.99410017169993	1.07723402402696	0.956588100542222	0.998236765516859	0.958261583720805	NA	0.959834362367402	0.968461312344974	1.10498944387661	0.970356861066906	1.09844611195963	1.02535958705487	0.975631532863688	0.975060608781539	1.02227097460444	0.977342881950832	1.0328368889662	1.03337098677857	1.03420589330994	1.03553153558782	1.03317196709477	0.981212520416314	0.989926958953508	0.988089407364531	1.0587786061924	0.995780986311644	1.05814583880622	0.996019452541192	0.99659916326583	1.05394822072497	1.19265436239636	1
HRAS	0.728268632553265	0.919867127823027	0.726623112199843	0.767055980981469	0.809552019564614	0.851530019514806	1.1189125927498	1.0116773518252	0.993160644962157	0.87391383912514	0.831674663606011	1.08614341095297	0.923790153953882	0.91006901582314	1.35768878145048	0.959603346300077	1.04263408884094	0.983082241237735	0.954736502792007	0.956934119965878	0.95846680745715	0.961998774260528	1.00459208151516	0.959834362367402	NA	1.01514759613351	0.971228706028902	0.971845587667429	0.972831633929376	0.975047486705518	1.0224025623493	1.02190219880898	1.02180918860983	0.977549665049665	0.981320111182348	0.981220190779014	0.982557784028372	1.0344212136665	0.98200669321359	0.98270592020592	1.03966970936568	1.04346012679346	0.995969376124015	1.05501930501931	1.05355971920764	0.996527032139972	0.996827150344261	1.05318473326948	1	1
NOTCH2	1.22199764758757	1.15648214538307	0.845822296339217	0.705553817929172	1.16416716947018	0.958075123090432	1.03962149540083	0.979913246068484	1.09363652249626	0.886624403133837	0.881389944627502	0.907470046358935	1.00628070448657	0.918881116363466	0.919539073390434	0.932059874394719	1.06340566806306	0.996833299464878	0.96261897339832	0.965938798924185	1.01008717405651	0.969118401211241	1.01816738082932	0.968461312344974	1.01514759613351	NA	0.97972972972973	0.980241605241605	0.979728783802702	1.0383377107515	1.03786039616723	1.03416997291499	0.985880381161192	0.985133992914076	1.04663468717336	0.991033965448536	0.988870427393648	0.991827270308283	0.991299454184974	0.99134739948462	0.99735908665505	0.999553305539011	1.06895936429387	1	1.06739354546896	1.07342296158086	1	1	1.08345307912848	1
BAZ2B	1.22357686238582	1.37051358587503	1.02628023743165	1.1352428371941	1.00175062891864	1.0363030983695	1.04227877054526	0.979976297236871	1.02659135583137	0.959903731095187	0.883336085395604	0.983294322712182	0.937027767783445	1.03470612626789	0.921361272848411	0.973512994454049	0.939922207596096	0.954065529129931	0.964095416018493	1.00975296563532	0.968405539033342	1.07736417398994	0.968971193682871	1.10498944387661	0.971228706028902	0.97972972972973	NA	1.02913618037927	0.982473495595043	1.13263856348794	1.03428037106692	0.985416057479427	0.987367616388374	1.03344166951762	0.990116385420954	1.04290880510393	1.04463536711673	1.14334516740128	1.04505759241135	0.991253239540911	0.99817604203739	1.0501364896122	1.1730579917666	1	1	1	1	1.15847732657609	1.07939536045286	1
FN1	1.02113609282954	1.04082106837195	1.02547949742093	1.13537938882711	1.0016046894109	0.879024549908107	0.972079911520175	1.0527091150038	0.878318198812798	0.889106892469506	0.960007758241266	0.90916861215399	1.0049532707657	1.1073611480202	0.921534474324961	1.04437787769608	0.940264543923081	0.995347267800731	0.964586783910285	1.01122393111343	0.968513902951943	0.971157539933331	1.10200857854441	0.970356861066906	0.971845587667429	0.980241605241605	1.02913618037927	NA	0.98128345829536	0.984097494037852	0.98708013124946	0.986425216416543	1.03298386547757	0.986527513033818	1.14426179911255	1.13778317746707	0.991299390676984	0.992726211758842	1.04257377064245	0.991639431392752	0.998294748270491	0.997972190790057	1	1	1	1.06595938745139	1	1.06131476780648	1	1
ZNF750	0.811847063600188	0.806968141835605	0.848579805573068	0.711280284379817	1.08446734685759	0.879942135806657	1.0406677864305	0.906175145282515	0.84090539422293	0.961479866093989	1.10571244279149	0.910409850441177	1.06731984431223	1.03270349476797	0.924319437811285	1.04333861420476	1.06161316506252	0.996249468352473	1.00522535096832	1.00971110947236	0.969309357019298	0.972170383252857	1.0152685952449	1.09844611195963	0.972831633929376	0.979728783802702	0.982473495595043	0.98128345829536	NA	0.986123704045792	1.03384606793698	0.986943870209144	1.03077653925112	1.02823252541627	0.991567148543893	0.99239199829751	0.992890011169771	0.992522648942575	0.992271251698626	1.03935194914977	0.99690187925482	1.04925663683798	1.06254075791609	1	1	1	1	1.05662996549615	1	1.07115323437637
