	BAP1_loss	CDKN2A_loss	PTEN_loss	PIK3CA	TP53	CDKN1B_loss	ERBB2_gain	CCNE1_gain	IGF1R_gain	CDH1	MAP3K1	GATA3	MLL3	PTEN	NCOR1	MAP2K4	MACF1	ARID1A	CBFB	RUNX1	TBX3	NF1	RB1	NOTCH2	MLL2	AKAP9	ANK3	ERBB2	CTCF	ATM	MGA	APC	FOXA1	MTOR	MYH9	SETD2	ASPM	CHD4	KALRN	MLL	AHNAK	SVEP1	PIK3R1	BRCA1	FBXW7	MED23	MYH14	SF3B1	BRCA2	MLLT4
MAP3K1	0.710254191640627	0.859104175612446	0.750576817461953	0.995859985949343	0.713537595210814	0.868411224900151	0.932748508281836	0.936885632242052	0.880111188015822	0.879820385571486	NA	0.912812618305158	0.9449709014786	0.93766939226903	0.915907104305412	0.917031360818915	0.929358251352733	0.971117826951045	0.936349520228792	0.936958045748144	0.95763695568302	0.958866145496877	0.931291998995482	0.941862728625791	0.964978404221733	0.945165821613879	0.945107859315289	0.945089975990506	1.00729454833248	0.946044199701564	0.947692931969081	0.969194933405351	0.969361669555844	0.947095437914283	0.990912286985157	0.940061333679188	0.951887693419137	0.9506746788326	0.952015685685019	0.952011924317263	0.941551217764939	0.940389401419937	0.942292905681812	0.94213166489719	0.942236631166541	0.956449417813398	0.982459088907375	0.956171168638144	0.956813626181848	0.94409031168808
GATA3	0.890761330355796	1.07075638051036	0.900144943628577	0.855055682455329	0.6897286028589	0.851440310806738	0.960201577597562	0.85238051132204	1.03453186846158	0.885793564933399	0.912812618305158	NA	0.968376011792081	0.964305723194661	0.969206353729926	0.953618482201262	0.958353449942382	0.988571979857386	1.00802443947288	0.971178739402354	0.95212451804212	0.953704677237734	0.954217302989489	0.957195631861414	0.924222231869936	0.960872115319543	0.937519129171537	0.937658963530801	0.937647552130539	0.93844610102409	0.940165426254058	0.929459864102269	0.939692853242263	0.965666100963441	0.929149456838398	0.930999434412583	0.932051993860022	0.969939591929274	0.999957426061316	0.930611177628229	0.932477239110662	0.931528590326593	0.933540943325091	0.949660847235504	0.949918993714219	0.933620771106943	0.949586893817683	0.980831024248961	0.934436392839591	0.935924150750639
MLL3	0.871540744345191	1.02704401302583	0.834519294368542	1.05096921952786	0.838629046373891	0.889727189021783	0.859780396585022	0.929088562005706	0.870975496808441	0.96647075453456	0.9449709014786	0.968376011792081	NA	0.980410291127061	0.950754978733823	0.969965741149766	0.974106491611962	0.963950375300508	0.944783478349076	0.966124698406033	0.988448469059418	1.00761462166531	0.969351603581517	0.950436933805119	0.99600917736962	1.01759335841348	0.975630711701175	1.03681339362393	0.954131923669859	0.977457345051467	0.978505823091061	0.979039741412967	1.00376677347932	0.955815745204255	0.980882766999439	0.959703651729653	0.981811447322055	0.982526242349285	1.08145415328113	1.0110974633633	0.987012292799341	0.962375296205313	0.989963520511273	0.950056937941111	0.964900952828538	0.96494664900135	1.02105972548026	0.965157988133918	0.965457620924098	0.998640060987573
PTEN	0.965132118210302	1.00010897800605	1.27669742392395	0.887076823674036	0.863160932936943	0.837549665001677	0.916917987311217	0.999938400455837	0.901631710209271	0.98706847278092	0.93766939226903	0.964305723194661	0.980410291127061	NA	0.969428721268785	0.941377330434771	0.973597572531694	0.949928890272333	0.950864992352297	0.962298188536538	0.963674345217914	1.0040603236865	0.965742770347657	0.966605285685804	1.01193092987119	1.01158879589338	0.969601565179008	0.969632554813677	0.957951458260658	0.970914815955787	0.971883705830157	0.972954027674948	0.971875215626123	1.01743662672413	0.961855632705294	0.96353758810674	0.995711068945504	0.974956460464926	1.00074554738827	0.97599877374807	0.977566160390883	1.00390818207263	0.978885640695748	0.980314299294424	0.980374897857335	0.965787755033823	0.965652874626008	1.00790639128173	0.966589765449173	0.967693678398818
NCOR1	1.06150267814827	0.944813532804154	0.943473881186757	1.00772759507671	0.852396787595301	0.869186318909128	0.905028852857084	0.865242635837357	0.990135469114033	0.941644379834478	0.915907104305412	0.969206353729926	0.950754978733823	0.969428721268785	NA	0.992360411696268	1.01349561456031	1.0039131133202	0.963523778457736	0.964289237832744	1.00825728785745	0.987776995134319	0.967875935679478	0.968729998981456	0.971032841867887	0.993684519841819	0.994386078443879	0.994054329332293	0.959586933027657	0.996384706739272	0.996386426149605	1.01599827407488	0.960975173045256	0.998757028839277	0.975685953754634	1.01891453618946	0.998688934941777	0.964165693394728	0.978433874753972	0.9785419693083	1.00357399410409	1.03228370753221	0.980823670118043	0.967489657069153	0.967458287830498	0.967452030223235	0.982089794987461	0.982431005983378	0.982823668573535	0.985085338584234
MAP2K4	0.916484398354697	0.731123992432868	0.776055542696773	1.11829289902231	0.744466266285171	0.898096721866366	0.908476964544816	0.867968577082521	0.867875950328054	0.92453473413818	0.917031360818915	0.953618482201262	0.969965741149766	0.941377330434771	0.992360411696268	NA	0.977641161920445	0.985535204602359	0.953656204725588	0.953947657535934	0.966825865765671	0.96817726478921	0.957869715387237	0.957701638699973	0.959993193439704	0.972781754717345	0.97276404835807	0.960982503184708	0.960681036801311	0.996970806410785	0.975188535526005	0.976191346513912	0.962155210163559	0.975068216703104	0.964487745580582	0.999537828826862	0.966960086690899	0.977776251143751	0.979374341518762	0.979689488158398	0.967459703541892	0.981198426576252	0.968320963968318	0.968624925970751	0.983535021397776	1.01157384189988	0.968510234824476	0.968230812869763	0.983847475995555	0.986447338726805
MACF1	1.10392654761877	1.0095664594106	1.03334267123211	0.927842112919313	1.10064899770626	0.907064308233246	0.845080035647936	0.943028215213011	0.872862055106506	0.929567261628657	0.929358251352733	0.958353449942382	0.974106491611962	0.973597572531694	1.01349561456031	0.977641161920445	NA	0.955904883729872	1.00802334062728	0.957102170221496	0.991790968655444	0.960092558326498	1.030328099205	1.01707555810318	0.97517593272743	0.975767599303695	1.01840358008795	0.975591440538952	0.976191207015849	1.02049073017744	0.999483623208691	0.998962622204511	0.978051409974936	1.00165106352085	0.967558224857256	1.00113878317708	1.00131704106848	0.980535540969779	0.968814984505606	0.982053507617185	0.983094046791783	1.00929382411693	0.984590691992462	0.986113813247292	1.03882418577489	0.971429538225541	0.971480970986427	0.971528999624575	1.01327656168124	0.973288823833601
ARID1A	1.04738981307896	0.817373068364541	1.00239513576765	0.775638447087271	0.700104594355773	0.907290561811283	0.989929929903842	0.888708038348664	0.934393888846567	0.941677908128646	0.971117826951045	0.988571979857386	0.963950375300508	0.949928890272333	1.0039131133202	0.985535204602359	0.955904883729872	NA	0.961885688993232	0.974243386637438	0.975547311291346	1.01941934854594	0.96602792600022	1.0016413932591	0.980378859683556	1.02472311716287	0.968853392866745	0.969023916507205	0.968931750907596	0.969664804448072	0.982986759026818	0.983862547069739	1.00795001720624	0.983880968803241	1.00834617643848	0.974075387223113	1.00710746185897	1.0097961689713	1.01293108850239	0.987559616633506	1.01233953368069	0.974619557943294	0.976197275708008	0.976599913670906	0.976314709146181	0.991612837729163	0.991347513848058	0.991402385904368	0.991629667455901	0.978228514924517
CBFB	0.72802329066735	0.89734006649602	0.744413304110193	1.06940826651576	0.772678466040857	0.907087263590486	0.938303168192617	0.862755570287428	0.858727299235544	0.942063214497963	0.936349520228792	1.00802443947288	0.944783478349076	0.950864992352297	0.963523778457736	0.953656204725588	1.00802334062728	0.961885688993232	NA	0.97488382572824	0.976007358220308	0.965968550442564	0.998301250744541	0.966794810930369	0.968963344938423	0.969751745109972	0.969792007068431	0.981984552410821	0.969624291589047	0.970274103606131	0.983648805275715	0.984519343289865	1.00807871765784	0.970914891706398	0.985125261474373	0.9747857227343	0.975475144177116	0.986527833256988	0.988140878493194	0.974708690415232	0.988491066813417	0.975402497472162	0.97673550804884	0.977203509905115	0.977230326292327	0.977054505715119	0.991475009055447	0.977157928429246	0.97768604159388	0.994496805325411
RUNX1	0.734509049731629	0.868109149041839	0.826100078310897	0.951875145193678	0.885316276589679	0.913332954045911	0.88779661586008	0.892038683504892	0.886111666978436	1.05332418099963	0.936958045748144	0.971178739402354	0.966124698406033	0.962298188536538	0.964289237832744	0.953947657535934	0.957102170221496	0.974243386637438	0.97488382572824	NA	0.964729666847482	0.966409630734914	0.978730478067515	0.967217651365088	0.969420171590215	0.98238427988186	0.970184943374121	1.04712872956987	0.969955300140117	0.970697353431862	0.984580695698933	0.973755326279612	0.971436366804035	0.971354622836026	0.973672665699094	0.986938116142612	0.987399755230373	0.974228272033133	0.989203831286354	0.975112894779338	0.976341544956737	0.975997429970115	0.97724939565141	0.97759648609465	0.977741482842997	0.97783568439424	0.992540661260674	0.992691452121219	0.978505291239543	0.995170904700822
