	CDKN2A_loss	TP53	FBXW7_loss	PTEN_loss	STK11_loss	CDK6_gain	EGFR_gain	CDKN2A	MLL2	KEAP1	PIK3CA	NOTCH1	NFE2L2	FN1	RB1	PTEN	NF1	ARID1A	ARID1B	SETD2	CCAR1	GATA3	TBX3	CLASP2	EGFR	HLA-A	TAOK2	ABL2	CHD3	CSDA	CTNNB1	DHX9	FGFR3	FOXP1	FUBP1	HRAS	ITSN1	MAP3K1	MKL1	MLL	MYB	PIP5K1A	RASA1	RGS3	SF3B1	SMAD4	SYNCRIP	WIPF1	WT1	ZC3H11A
PIK3CA	1.45157161850405	1.16366455922701	1.0079638851938	1.07864098342579	0.863423067424055	0.673011198547542	0.917743467298033	0.906367674415414	0.991385925756697	0.941565195075335	NA	1.05489579179037	0.90138237621635	0.914919345086943	0.864867445946978	0.934076874677397	0.960724506702817	0.964628560457494	0.939397448313613	0.937446670710269	0.961444164786583	1.05214479722769	0.959357012494735	1.05011243173787	1.04943707097727	0.961856743106743	0.960660571544028	0.990239735618664	0.989301135321675	0.990107873416588	0.990416007539295	0.990195749064929	1.29601166677591	0.988612193033342	0.988058318624459	1.1100204640838	0.991282864068618	0.987677918632883	0.989106554375687	0.988719309887193	0.988377222001676	1.30607319734744	0.991104021033271	1.30684971827433	1.10217918216444	0.991507169584883	0.990085924782251	0.993285939968404	0.992094305169207	0.99132765822749
NOTCH1	1.23685898964101	1.15498707756449	0.913528737915202	0.979354993516711	0.77376215399998	0.686797525293649	0.841092190790076	0.829849244626146	0.783611321892047	0.820868961411448	1.05489579179037	NA	0.913294588690218	0.926052740409176	0.880824832355008	0.94305769132559	0.910410173323631	0.970275629721626	0.94798077821254	0.947238365128584	0.966876859855463	1.04208942335776	0.96677430975478	0.968409697310133	0.968493454153513	0.96815955213436	0.967777187075433	0.990869211212841	0.9907100199071	0.990816089281562	0.993061455678278	1.08577118235678	0.991278422996485	0.992747486039828	0.992180044236361	0.992453796745084	0.994280553883203	0.989300485524186	0.995685946184795	1.08228763404975	1.08110094379241	0.99386459279054	0.992472101167753	0.993042931652537	1.08272002453235	1.08192337368926	1.08265336833481	1.08285348420683	0.991278422996485	0.990745350548198
NFE2L2	1.51933005355713	1.61147538179179	1.55844055576246	1.47226241370315	1.02575425346165	1.27613223074071	0.964090608472464	1.1900935859518	1.10367361241799	0.867733011073869	0.90138237621635	0.913294588690218	NA	0.872143408321956	0.937458597773361	0.886325715441399	0.977609743248059	0.978759737518708	1.0363671337639	0.952012019089142	0.973004627367574	0.973652368418515	0.973004627367574	0.974245526615979	0.974441383532293	0.975463681317885	0.972301319007074	1	1	1	0.999709787419285	1	1.12032773691205	1	1	1.11879637033043	1	1.3406984759133	1.32977504654102	1	1	1	1	1.11714422863895	1	1	1	1.12056883759275	1.12788619457057	1
FN1	1.36649879626178	1.24876160246237	0.940054679002339	1.34580368435864	0.626091540747538	1.13643849433049	1.26543735777473	1.12462434987015	0.846394833236938	0.977661435304407	0.914919345086943	0.926052740409176	0.872143408321956	NA	0.949823247882398	0.899892818141372	0.921280086776235	1.08914087340212	1.18144442527744	0.960203865631055	1.23429044627727	1.06976931114862	1.07276354848434	0.981260821619788	0.985103745031543	0.983882241684141	1.06524723544674	1.30624726955002	1	1.11321946898043	1.11607909156929	1	1	1	1	1	1.30170196894447	1	1.11715966319645	1	1	1.30957148578294	1	1.11829888139595	1.11650063172656	1	1.11673553719008	1.1187291975779	1	1
RB1	1.20363752181934	1.4630186260085	1.37925697296023	1.30334904212334	1.23391974859854	0.739043129221144	0.806033277321369	0.795980976648004	0.79531888625038	1.08484501635971	0.864867445946978	0.880824832355008	0.937458597773361	0.949823247882398	NA	1.08628996296943	0.993779173679918	0.933177035948399	0.969624300559552	0.967613997219743	0.987463604011647	0.984954963481772	0.985384517887132	0.988771838557246	1.08067623662494	0.988232251390146	0.988619456482338	1	1.13205084553399	1	1	1	1	1.34395860059577	1	1.12662337662338	1	1	1.12964776324749	1.13797337116665	1	1	1	1	1	1	1	1	1	1
PTEN	1.59640398142875	1.31159121613886	1.48884700908393	1.61674003290292	1.17485613763082	1.00745451466269	0.945088742788046	0.867888936691267	0.866369116829109	1.0071334033564	0.934076874677397	0.94305769132559	0.886325715441399	0.899892818141372	1.08628996296943	NA	0.934941339772965	0.942037785494266	1.05771426432328	0.975364547732969	0.997961173127905	0.997777856892797	0.998001998001998	0.99687228598925	0.998144712430427	1.08804581245526	1.08664772727273	1	1	1	1.13670505758638	1.14527976570065	1	1	1	1	1	1	1	1.14070642733063	1	1	1	1	1	1	1.14171396668838	1	1	1.14363448728774
NF1	1.39151554404145	1.21026834477817	1.59740624298226	1.3012013089881	0.889832330180568	1.10662170378544	1.01664784392627	1.01945501386257	0.897376385474888	0.92982671992492	0.960724506702817	0.910410173323631	0.977609743248059	0.921280086776235	0.993779173679918	0.934941339772965	NA	1.13724774409929	0.994076099339257	0.993505482623734	1	1.11015014317777	1.10992578849722	1	1	1	1	1	1	1	1	1	1	1.15584614101887	1	1	1	1	1	1	1	1	1.15549265549266	1	1	1	1	1.1489756658846	1	1
ARID1A	1.19811494083927	1.04386369699778	0.745533808914091	0.824539050617712	0.894985172528919	0.969141924419926	1.1464949423665	0.902026779118745	1.12545573594845	1.04466493374754	0.964628560457494	0.970275629721626	0.978759737518708	1.08914087340212	0.933177035948399	0.942037785494266	1.13724774409929	NA	1.06632339903158	0.998494370253993	1.09407857730085	1	1.0941172015321	1	1	1	1.0791358361107	1.11966181746075	1	1.12293743002404	1.1205238276368	1	1.12564489393008	1	1	1	1.11838407703736	1	1.12277082473754	1.12025356519537	1	1.12216251781994	1	1.12355091479978	1	1	1.12541622486374	1.26375764816625	1	1
ARID1B	1.5224662109436	1.5172327835382	1.03967810002837	1.08085349901897	1.35854850744855	1.3886771910724	1.21330233737621	1.13079417185416	0.966037027770828	0.995839833593344	0.939397448313613	0.94798077821254	1.0363671337639	1.18144442527744	0.969624300559552	1.05771426432328	0.994076099339257	1.06632339903158	NA	1	1.31703461692994	1	1.1479488623329	1	1	1.13206674070548	1.13428973593227	1.19089933372362	1	1.19213984505247	1.19711263579188	1	1	1	1	1	1.3758109360519	1	1.18889626188896	1	1	1.20021851755376	1.195588089048	1	1	1	1	1	1	1
SETD2	1.53036199301577	1.51154647400381	1.55393963628777	0.584469725507923	0.903793010227836	0.653922415102198	0.723206810960594	0.967327038980682	0.964360783724946	0.991491111532865	0.937446670710269	0.947238365128584	0.952012019089142	0.960203865631055	0.967613997219743	0.975364547732969	0.993505482623734	0.998494370253993	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1.18933854080106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
