	CDKN2A_loss	TP53	EGFR_gain	KRAS	MDM2_gain	CDK4_gain	STK11	KEAP1	NF1	EGFR	MGA	SETD2	FAT1	BRAF	SVEP1	KDR	LPHN2	SMARCA4	ARID1A	MLL3	BAZ2B	RB1	MLL	CREBBP	MMP2	U2AF1	DNMT3A	NTRK2	SMAD4	CDKN2A	CTNNB1	MAP3K4	ACTG2	CIC	EIF2C3	FN1	NUP98	PRRX1	PTGS1	TCF4	TAOK2	COL1A1	CUL3	IRS2	MAP4K3	MET	NUP107	PCSK6	SYNCRIP	TFDP1
FAT1	1.02301589393552	1.059176079464	1.08392999581906	0.895479290846438	0.735737564364249	0.891492442820862	0.88998765359016	0.897320095193074	0.964273901171954	0.884036696627809	0.990753280734039	0.887901994945433	NA	0.925914145173152	1.14424065925578	1.09421865765683	1.05239223821896	0.935322803965055	0.937981420277178	1.05626146973508	0.9573430913118	0.960807822770625	1.03026439130032	0.976268678128374	0.977252214352369	0.938314207406891	0.994692976593462	0.946865880480586	0.946075776896606	1.00830865286552	1.00753639709153	1.00946017831282	1.02310149632085	0.964105946388689	1.02443831144342	1.02389695089614	0.965256642133948	1.0233606180447	1.13364458808567	1.02380963830624	1.02315302965552	1.04242177893619	0.977427130012598	0.97629129390784	1.04402494097151	1.28078700892151	1.04440205478114	0.976675907085991	0.977562646833018	1.16887445379967
BRAF	0.69748655106733	0.773052248519896	0.800719808147061	0.761246394875153	0.855846421605614	0.859322508305813	0.906800246271912	0.914709067314424	0.875288581461792	0.867420353030693	0.954912330261697	1.07268568262395	0.925914145173152	NA	0.936021985393904	0.937686951111537	1.00412238203292	0.908483981237245	0.91434118213775	0.913775909139101	0.966119418592492	0.969552989676315	0.936447156413065	0.945201628758705	0.986972219712179	0.993807614171891	1.00470969331614	0.954859342959586	0.9541437550654	0.96158032640413	1.01616431421999	0.962338209923215	0.972680925705284	0.972531357293239	0.97216884190726	0.972856362412965	0.97248166544908	1.03096273480126	0.972647624212652	0.973380309258172	0.97318372360302	1.0535465305057	1.17706122707548	1.17748250239541	0.984633038966223	0.985587745789892	0.984903127567069	0.98438731198779	1.17811704834606	1.05070883315158
SVEP1	1.10100659614886	0.94890471832705	0.917197653144912	1.11503420806946	0.95955906504973	1.01022381873446	1.00520815285781	0.964915919021762	0.977550916486843	0.893717523155788	1.00300962007737	0.925657913669515	1.14424065925578	0.936021985393904	NA	0.997328505417975	0.93926649253401	0.945293393509701	0.948472652678053	1.12377413350819	0.931270250974793	0.969296992863675	0.972961869260722	1.06068944370027	0.985633922479822	0.947040471827206	0.954517271851285	1.00584700341075	0.954616779482581	0.962389079911057	0.962651301833255	1.1158626753527	1.03207457200849	0.973697323272124	0.972931861596475	0.973142571345012	0.973049679156549	0.972564530738494	1.03324084374374	1.03162726569593	1.02942035866905	0.985186740617703	0.98622737906679	0.98559927142559	1.05159070719846	1.05237489397795	0.985772615454845	0.986451085884905	1.05274845866332	1.0521342926868
KDR	1.03422128667196	1.00269393657046	0.972706899455535	0.970194115193578	0.75045258178548	0.754369132342896	0.956833789756715	1.016897786079	1.02812845532066	0.870444917360205	0.876954755169025	1.02649915930892	1.09421865765683	0.937686951111537	0.997328505417975	NA	0.941721951573854	0.946409741458621	0.950334545488213	0.916646903265385	1.0309838364078	0.971305057644356	1.09859931022197	0.947169084647978	0.986351279130412	0.94931100178494	1.09327478901891	0.956894962996014	1.00637469674031	0.964473687798166	1.01655665149332	1.11574778469234	0.973363229727941	0.974440012404049	1.02827897293546	1.03198033293891	1.03025045738439	1.03113956894925	1.03277022449072	1.03149612578673	1.13001990212037	1.16757058320307	0.987270504351042	0.987202514593624	1.04686599086335	1.04794917238585	0.986719238602797	0.986067314823691	0.986752730377601	1.16297071622364
LPHN2	0.999034176580269	1.25921394521235	0.937321781201427	0.988889738403773	0.973927027802889	0.868049304530855	0.860615934837936	0.976014813206994	0.877910032117435	0.947301468407312	0.90479419906755	0.898627771719375	1.05239223821896	1.00412238203292	0.93926649253401	0.941721951573854	NA	0.911261910282563	0.915901813876818	0.951610749170593	1.03813722080563	1.04964094199989	0.938327383769683	0.990083279216138	0.947365484627744	0.999073960681504	0.956320662013608	1.01079249031082	0.957339108398973	0.965813928785717	1.12566594977707	1.02414318013924	0.976563732791973	0.976857525098652	0.977019778802903	1.15448629708422	1.03964229005386	1.03624451523712	1.03564515778256	0.976030445562686	1.03535773573199	1.06155997279117	1.06081228032962	0.990064625030791	1.19207438185117	1.05747210804463	0.988743961480392	0.98976557619243	1.19278408639827	1.06081228032962
SMARCA4	1.25267653211318	1.00038154092496	1.08322084337178	0.775863465871142	1.24550950129951	1.24937149671466	0.97960177400255	1.09494237314757	0.993773643057127	0.873175898716483	0.967331125316819	0.989150764658836	0.935322803965055	0.908483981237245	0.945293393509701	0.946409741458621	0.911261910282563	NA	1.02360252036074	0.920206931597611	0.974664506199662	0.979409103986484	0.981955971245777	0.951298339144089	0.951708082940826	0.954267638262385	0.962580699927665	0.960675826507309	0.961194095518842	1.13147154410098	1.02889271936305	1.02755858010603	0.981123143381265	1.16087940449476	1.04506631239632	1.04153044917296	0.98124447163668	0.980901876786911	0.981133236823509	0.981315455552245	0.982731897329262	1.06610838013814	0.993707143721353	0.993462934191855	0.993032748035843	0.993843517088187	1.06372995307795	0.995577365806373	0.992515208349193	0.992912662570369
ARID1A	1.18371161029574	1.05913128110835	0.900100193406124	1.00828407009621	0.934117084829559	0.937891863883256	0.817009187026708	0.989207686233219	0.943802555898506	0.906759251118402	0.914985925872673	0.937578883589956	0.937981420277178	0.91434118213775	0.948472652678053	0.950334545488213	0.915901813876818	1.02360252036074	NA	0.958677387405266	1.03844392548586	0.939759209620096	0.947021932187589	0.995641816902171	0.954937709612407	0.958883734898199	0.964759332893888	0.964992321901498	0.965273711485121	1.02442425659173	1.02337138162355	0.973706132004337	1.03927232033062	1.0371754916915	0.981476813641945	1.14002409630172	0.982802546263989	1.04068585510244	0.983004823212183	1.14413008314651	1.13341981000019	1.06009840373007	0.994134485855411	0.993014156559601	0.992380758494706	0.996271547760249	0.995830665294875	0.994615783619375	0.994281840836601	0.993251897319729
MLL3	1.18206250790348	0.936376627850997	0.774957470471809	0.839801736970474	0.879390328962974	0.936541684235006	0.872788830618842	0.822636369918063	0.996611388046355	0.879695489622278	1.02001661761367	0.990809490693995	1.05626146973508	0.913775909139101	1.12377413350819	0.916646903265385	0.951610749170593	0.920206931597611	0.958677387405266	NA	0.942213785547134	0.98132739575729	0.982462073630302	0.995185867351075	0.955290617411204	1.00257914870783	1.01202981444982	1.18125118537428	0.964405615379406	0.973076622809108	0.973048358216215	0.973275319015989	1.1457243331332	0.983742728986606	0.981670108355182	0.981873576051234	0.981820360033638	1.0375918847057	0.983087972256193	1.13986568222584	1.03581967869947	1.0599295954813	0.995141938580885	0.993061567115238	0.993768926971545	1.05646129177161	1.05646129177161	0.99460335583937	0.993527440592889	1.05627913629502
BAZ2B	0.934220730982153	0.954588789204265	0.831189994047535	0.814658582286636	0.853696409161733	0.856909635434259	0.805513373402158	0.909737565101583	1.0245184437061	0.926039278708671	0.934360608455351	1.01139740032455	0.9573430913118	0.966119418592492	0.931270250974793	1.0309838364078	1.03813722080563	0.974664506199662	1.03844392548586	0.942213785547134	NA	0.956012186407547	0.962544780245536	1.0102830582459	1.00902439809086	1.01932114371782	0.980723817892251	1.11073802802383	0.978580772605244	0.988039052090208	0.986668211256176	0.987534520122503	1.0494618071612	0.996101024624431	0.99603687307001	1.04944192014749	0.995602328045926	0.995623371874495	1.05008200310839	0.997359064922014	0.995818084555358	1.06257685793174	1.06434120135207	1	1	1	1	1	1	1
RB1	0.787236825478932	1.30141884609171	1.09440937059499	0.819477897742192	1.00201388767405	0.934963486934175	0.838838439051838	0.985875019302273	0.975038943781431	0.985157044091465	1.06234160747324	0.922799702730254	0.960807822770625	0.969552989676315	0.969296992863675	0.971305057644356	1.04964094199989	0.979409103986484	0.939759209620096	0.98132739575729	0.956012186407547	NA	0.961597860464155	0.971284757110951	0.970432825643467	0.973749595732994	0.981767241229044	1.03791046372273	0.981102705931683	0.991273213681366	0.992022642596453	0.990949394911565	1	1	1.0620174887243	1.06251583148851	0.99907818553173	1	1	1	0.999510589746931	1.08255477440342	1	1	1.08715630326836	1	1	1	1.08658289899154	1
MLL	0.981340118744699	0.911653431319184	0.937500510196155	0.826726109814219	0.794746930789178	0.797862568265788	0.847564051943494	0.921987649263647	0.977817167738496	0.901743870417354	0.940890023695714	1.01766283006833	1.03026439130032	0.936447156413065	0.972961869260722	1.09859931022197	0.938327383769683	0.981955971245777	0.947021932187589	0.982462073630302	0.962544780245536	0.961597860464155	NA	0.974945993186472	0.975231664805545	0.977425204267921	0.984270182743465	0.984255291595653	1.12361022522159	1.04034766268547	0.992888447639307	1.04169712097904	1.05570523374744	0.999410708781346	1.05637810889079	1.05581680637906	1	1.05397215083049	1.05307298695884	0.998910450242397	1	1	1	1.0682959393957	1.07058109947334	1.07046473991857	1	1	1	1
CREBBP	1.10441062667245	0.983378264246834	0.727176128609295	0.854217755927699	0.809373104054042	0.895755971472801	0.861815573663218	0.945264215426844	0.891132755283906	1.0056597017221	1.01953300404131	0.938578530541151	0.976268678128374	0.945201628758705	1.06068944370027	0.947169084647978	0.990083279216138	0.951298339144089	0.995641816902171	0.995185867351075	1.0102830582459	0.971284757110951	0.974945993186472	NA	0.984147277489338	0.987559942050876	0.993156748153962	1.04614687866635	0.992945716859116	1.05660424814819	1.05934478102978	1	1.06832396750599	1	1	1.06798850709893	1.0660690671503	1	1.07205485401091	1.0698863051376	1.06173903847981	1	1	1	1	1	1	1	1	1
MMP2	0.654440849723463	1.08173947565132	1.10202939246231	0.938430747897396	0.975464852314697	0.976612804081125	0.821086616774042	0.86735359121456	0.929665772849993	0.909929756882815	0.953101908419482	0.973562382600394	0.977252214352369	0.986972219712179	0.985633922479822	0.986351279130412	0.947365484627744	0.951708082940826	0.954937709612407	0.955290617411204	1.00902439809086	0.970432825643467	0.975231664805545	0.984147277489338	NA	0.986447965987052	0.994047455011437	1.0463339580712	0.994498815717272	1	1.05586149933095	1	1	1.06880249230265	1	1	1	1.06798850709893	1	1.06974256611216	1	1.08741990061682	1.08361787627074	1	1	1	1	1	1	1
U2AF1	0.940797013294147	0.929550183408624	1.06170165538912	0.96239819908658	0.908443069053579	0.910391019392047	0.821186427494418	0.961198132594502	0.934604997147517	0.910893908270993	0.959557761383683	1.05328117501109	0.938314207406891	0.993807614171891	0.947040471827206	0.94931100178494	0.999073960681504	0.954267638262385	0.958883734898199	1.00257914870783	1.01932114371782	0.973749595732994	0.977425204267921	0.987559942050876	0.986447965987052	NA	1	1	1	1	1	1	1.09401277319987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.09934091268468	1	1
DNMT3A	1.01336539554378	0.864049524018705	0.772362696065528	1.09432049443822	0.776480343297744	0.779753367158105	1.06400828886715	0.886726273318994	0.900428342386753	0.917740290528948	0.968777743169663	0.946146561161146	0.994692976593462	1.00470969331614	0.954517271851285	1.09327478901891	0.956320662013608	0.962580699927665	0.964759332893888	1.01202981444982	0.980723817892251	0.981767241229044	0.984270182743465	0.993156748153962	0.994047455011437	1	NA	1.19061656169539	1	1.08133188298374	1	1.08403623744837	1	1	1	1	1	1	1	1.0965328446638	1	1	1	1	1	1	1	1	1	1.11513145542425
NTRK2	1.15417344512577	1.20481205706452	1.11291931792078	0.995724829557685	0.828396017073525	0.93392110348645	0.973600105709691	0.884457985065048	0.946211373629905	0.959496298676359	0.968469963491537	0.947193517859432	0.946865880480586	0.954859342959586	1.00584700341075	0.956894962996014	1.01079249031082	0.960675826507309	0.964992321901498	1.18125118537428	1.11073802802383	1.03791046372273	0.984255291595653	1.04614687866635	1.0463339580712	1	1.19061656169539	NA	1	1.08256670403479	1	1	1	1	1	1.0991622509356	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SMAD4	1.15491880740926	0.744781459963189	0.651551531376753	0.89090460460505	0.77575742422808	0.779704001757093	0.971789094261015	0.835260105491213	0.899918179447756	0.917644174659035	0.968475976520038	0.989289787818077	0.946075776896606	0.9541437550654	0.954616779482581	1.00637469674031	0.957339108398973	0.961194095518842	0.965273711485121	0.964405615379406	0.978580772605244	0.981102705931683	1.12361022522159	0.992945716859116	0.994498815717272	1	1	1	NA	1.07791964091363	1	1	1	1	1	1	1	1	1	1	1.09194742581645	1	1	1.11367454124051	1	1	1	1	1	1
CDKN2A	1.41110567317736	1.04224527545896	0.804743763961811	0.921593323518315	0.845158590161325	0.789405446650565	0.893968082944149	0.900789488999771	0.90837174789752	0.925599437823379	0.932839198501688	0.953477189397127	1.00830865286552	0.96158032640413	0.962389079911057	0.964473687798166	0.965813928785717	1.13147154410098	1.02442425659173	0.973076622809108	0.988039052090208	0.991273213681366	1.04034766268547	1.05660424814819	1	1	1.08133188298374	1.08256670403479	1.07791964091363	NA	1.09687804966002	1	1	1.10956321791459	1	1.10570865097863	1	1	1	1	1	1	1	1.1222105461135	1	1	1.13086307625103	1.12889330064903	1	1
CTNNB1	0.789856212274725	0.916580365020152	0.804932327149755	0.74500094886025	0.785769471468942	0.789580932668298	0.893619624879607	1.1074978621247	0.95927750551625	0.969634486383337	0.933716437899063	0.953988750982123	1.00753639709153	1.01616431421999	0.962651301833255	1.01655665149332	1.12566594977707	1.02889271936305	1.02337138162355	0.973048358216215	0.986668211256176	0.992022642596453	0.992888447639307	1.05934478102978	1.05586149933095	1	1	1	1	1.09687804966002	NA	1	1	1.23587584179124	1	1.1106778949345	1.11126818081865	1.1079464649493	1.1102513752162	1.10436741334001	1.1015037593985	1.12826965819109	1	1	1	1	1	1	1	1.12820064546673
