	CDKN2A_loss	TP53	EGFR_gain	MLL2	CCNE1_gain	ARID1A	ERBB2_gain	MDM2_gain	MLL3	RB1	EP300	CDKN1A	FGFR3_gain	FGFR3	ELF3	FAT1	ERBB3	ERCC2	MGA	AHNAK	TSC1	ANK3	ARHGAP35	FBXW7	NFE2L2	CDKN2A	TRIO	CAD	AFF4	HRAS	NCOR2	HSP90AA1	TXNIP	APC	CDK12	CEP290	CLASP2	CNOT1	DDX5	DICER1	IREB2	LIMA1	NUP98	PTEN	SETD2	CDKN1B	CHD9	KEAP1	MECOM	ZFP36L2
ANK3	0.927745280492577	0.993777347512477	0.888685217955316	0.915801484778903	0.966234052656334	0.909608580274215	0.829529398796859	0.931672855790175	0.988155391983814	0.910323623334709	1.15398258840949	1.01754580012691	1.0295171316256	0.926368462068176	1.02289924497965	1.12361225665962	1.06991786884548	0.900950946238584	0.971461835366448	1.05857158488737	0.984018163408344	NA	0.928320449754041	0.933649888884952	1.00880501317686	0.944811151064498	1.02614629700637	0.955912133849058	0.965052382509068	1.04364497323376	1.04008779197372	0.96810118410048	0.968419578976841	1.2115321749189	0.98367158179328	0.97998397353929	1.06307229079609	0.98197632320483	1.06565309964983	0.978920429673031	1.06443310865516	0.982353920426169	0.982222844344905	1.20691115240761	0.980806472436201	0.983927063648426	0.98569798236414	1.05851423811755	1.05822057611947	0.983036102653328
ARHGAP35	1.17124735473289	0.994527185774729	0.782168584986179	0.917053552602474	0.966836457562285	0.824096049141421	0.834834246293447	0.935478648775048	0.903417215654865	0.865165720307138	0.870605516813181	0.925879326607263	1.02925933168805	1.02658328260188	0.893284689570742	0.952927711570062	0.905696824655419	0.962712723280267	0.971711568402577	0.937902247622665	0.924098784510684	0.928320449754041	NA	0.996333713540818	0.94448155931023	1.20063698899085	1.14203084062419	0.959267959009835	1.0393060610022	1.03877010963162	1.03746709421222	0.970713659060103	0.971118793178522	0.983587275728012	0.983479139930598	0.984879781872263	1.06115961043548	1.19703876637306	1.06133762088743	1.05841622177354	0.983143061228045	1.06047689794053	1.05429720384575	0.983116295039385	1.05975043992961	1.05723700113227	0.986029983681313	0.983899940452512	0.98435334492621	0.984291750188156
FBXW7	1.25471242453224	0.930504319560023	1.03063665985403	1.02566278665846	0.772561751512225	0.928784736432576	0.844609784012018	0.843790774180025	1.08828820517552	0.869864265839705	0.874710054656173	0.93409529960979	1.04672309179489	0.882755287781507	0.897682845656807	0.96321856198901	0.910901949249652	1.08594737333851	0.929381560782273	0.940515374720179	0.930423726955874	0.933649888884952	0.996333713540818	NA	1.02389031230524	1.13445509485794	0.962617132482228	1.0330173259235	1.05393838413539	1.05302590117125	1.05586928187985	0.977455178182416	0.978368675153075	1.07364215114612	1.07575229464389	0.993180625983564	0.992592386696872	1.07469047321283	0.99329919433457	0.991896468978756	0.993197545407993	0.991487299589123	0.990520368104657	0.990696066986141	0.992292817526499	1.07168331506384	0.992172211350294	1.07200099012965	1.07165450019225	0.992748101631677
NFE2L2	1.51183336797287	0.855662962321616	0.695472276491754	1.153364022486	0.785214689208139	0.950729497811127	0.791530674452264	0.791113175350374	1.0237045795454	0.875506180484702	0.881319247422107	0.885657020991291	0.950432151144018	0.952461142880718	0.959549411162314	1.17051492550878	0.918226222490533	0.988905578833636	0.934490991552483	0.997737089622562	0.937944275894414	1.00880501317686	0.94448155931023	1.02389031230524	NA	0.960999253334173	1.05022156573117	0.973057644110276	0.982529300733067	0.98718648016493	1.0726310285038	0.987029586107506	0.985669498888029	1	1	1	1	0.999785434450224	1	1	1	1	1.09080486127035	1	1	1	1	1	1	1
CDKN2A	1.36961590990983	1.22414932591696	0.832097905970397	0.968760156389536	0.913408869956411	0.79016042415789	0.861901523775875	0.977351370611544	0.926055837934849	0.880720042847252	0.886030620496006	0.950141347209968	1.06979974270524	0.954254376619153	0.961138946596603	0.97437885911709	0.98870009778364	0.988518472900472	1.08189975029469	1.00034416496974	1.00788332044816	0.944811151064498	1.20063698899085	1.13445509485794	0.960999253334173	NA	0.973692106052711	0.976563348465431	1.0659550902529	0.985883600170858	1.06285479562496	0.988122442264048	1.06211334675333	1.08353799070541	1	1	1.0875067891998	1.23132637954446	0.99994589712338	1.08211341426504	1.08684380076883	1.0875067891998	1	1.08821029635465	1.08363829928804	1	1.07524814437053	1.07723037575695	1	1
TRIO	1.3386758591279	0.910872272196932	1.14883981391812	1.00661254771249	1.43103766331686	0.797227120117872	0.875377250013102	1.25184958651701	0.877646466455901	0.951042065879991	0.89228617798158	0.8977214027435	0.968937939390386	0.970537617836685	0.915299974410868	0.988623512867986	1.00639204042151	1.0072431394542	0.946136629841242	1.01015890862001	1.02613960342121	1.02614629700637	1.14203084062419	0.962617132482228	1.05022156573117	0.973692106052711	NA	0.986970807153088	0.997615991197506	0.996950815325467	0.994921889479102	0.997662185856224	0.995069920973733	1	1	1	1	1	1	1	1.10590615649729	1	1	1	1	1	1	1.1002798712066	1	1
CAD	0.827483039062829	1.04945759963273	1.00794809208993	0.903069039272847	0.809554501854208	0.80253738437852	0.881162890552768	1.01029948561377	0.882769637486747	0.952869722535029	0.955054853005753	1.07727868094614	0.90124784032298	0.905906272064516	0.918879403460177	0.990872662665813	0.934989208627472	1.00445774479664	0.94953286391408	0.960571398093251	0.952635316920894	0.955912133849058	0.959267959009835	1.0330173259235	0.973057644110276	0.976563348465431	0.986970807153088	NA	0.995851104578848	1.21438634135889	0.998057766726013	0.998283016589653	0.996803680032614	1.23915092651147	1	1.2460497558221	1.09581036968131	1	1	1	1	1.09542235438835	1	1	1.09741985818541	1.0877135433302	1	1	1	1
AFF4	0.705585065573182	1.28992048576179	0.913771428452409	0.807715346091381	0.83187473339199	1.01389553850779	0.82121710385036	0.819859749787937	1.190097886225	1.0957586699378	1.28965264471704	0.983840357766963	0.988779426504021	0.915306346533929	0.928200783649264	1.00717699727755	0.946102468833053	1.29403043499093	0.957670692335286	1.02370955695982	0.964026145554549	0.965052382509068	1.0393060610022	1.05393838413539	0.982529300733067	1.0659550902529	0.997615991197506	0.995851104578848	NA	1	1	1.09534496254244	1.23268223821872	1	1	1	1	1.12698457625645	1	1	1	1	1.12451447343458	1.12622636151053	1.12361681570399	1.26393570132227	1	1	1	1
HRAS	1.10818129315297	0.976009216420344	1.23166187855486	0.938671828768862	0.748664274459034	0.881935418271016	0.820114798345357	1.180331104455	0.89101720353691	0.901571779939847	1.08748330031787	1.11154076090413	0.912641172580375	0.914948378512252	0.927880238713375	1.11766748296979	1.02748974501868	1.02632848401757	0.957988349072417	0.966929867427977	0.96476554134594	1.04364497323376	1.03877010963162	1.05302590117125	0.98718648016493	0.985883600170858	0.996950815325467	1.21438634135889	1	NA	1	1	1	1.29497376882721	1.12649649875762	1.12862870105597	1.13216991734715	1	1.12542027427159	1	1	1.12542027427159	1	1	1	1.11283008802347	1	1.11418831949533	1	1
NCOR2	1.30701481134148	0.63968824442434	1.07595912859071	1.06116373967409	0.832540498027426	0.812860124587997	0.89990517398376	0.820182203045875	0.891397827206958	0.901598917078793	0.905875350735482	0.980991178041198	0.988047343610899	0.990676437835043	0.991928951101757	1.12198481215528	0.946338386703028	0.946635213108483	0.957289229729899	0.967470793623014	0.964263251972191	1.04008779197372	1.03746709421222	1.05586928187985	1.0726310285038	1.06285479562496	0.994921889479102	0.998057766726013	1	1	NA	1	1	1	1	1	1	1.12687591055036	1.12709335890169	1.12671313083999	1.12851826124509	1	1	1	1	1	1	1.11149199448184	1.11101889924177	1
HSP90AA1	0.907445305969504	0.814906496519777	0.747750812288131	0.813894131381398	1.12801571004449	0.88874718919227	0.903964682480701	0.826750037435169	0.896790713245207	0.971287441905735	0.973599319894258	0.91649347488251	0.914901361287035	0.919926042314763	1.09885616649994	0.942829365605449	0.948336045069776	1.02363410320489	0.960596549269796	0.970060087055715	0.967558517321941	0.96810118410048	0.970713659060103	0.977455178182416	0.987029586107506	0.988122442264048	0.997662185856224	0.998283016589653	1.09534496254244	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1.10994020484282	1.11003348707904	1	1	1	1	1.09551829885272
TXNIP	0.706973419311557	1.13647723797572	0.662386913341775	0.812909667147152	0.835537665324899	0.88625118973952	0.825335883969501	0.903756511335939	0.959805402436393	1.08849045691151	1.08277341217669	0.982335340586151	0.9900179914823	0.99131881549464	0.993329881802835	1.00308198068625	1.02368578537907	0.949115294556362	1.10830193266075	1.02058068365411	1.04375037253383	0.968419578976841	0.971118793178522	0.978368675153075	0.985669498888029	1.06211334675333	0.995069920973733	0.996803680032614	1.23268223821872	1	1	1	NA	1	1.11355517878789	1	1	1	1	1	1	1	1	1	1	1.22394003927317	1.10050767945505	1	1	1
APC	0.787539936934417	1.06776357374168	1.15589474521027	0.98514752588015	0.768923220929599	0.82990985861408	0.928943633129756	1.39426916068605	0.980645876338649	0.918023494161888	1.12110570124981	1.27718535883435	0.929157163500879	0.932704689901549	0.943603980895466	1.0263004904047	0.966151594248082	1.05276895302564	1.03824597803779	0.98059245772475	0.982088464768921	1.2115321749189	0.983587275728012	1.07364215114612	1	1.08353799070541	1	1.23915092651147	1	1.29497376882721	1	1	1	NA	1	1.15061848168809	1.32679318108717	1	1	1	1.32297303768977	1.1499165921234	1	1.14770056905472	1	1.12752630405968	1	1	1	1
CDK12	1.47883347070713	0.573165515004765	0.678416452186455	0.9826821790127	0.866937915324128	1.19917355527911	0.928883917316537	0.929880678455154	0.908676555672977	0.918140482671573	0.923272771997581	1.0091832390683	1.0159507273881	1.01180036808488	0.943691891696344	0.953295694883851	1.34171415800648	1.05099463738372	1.04097345297226	0.980293512574856	1.06727111172457	0.98367158179328	0.983479139930598	1.07575229464389	1	1	1	1	1	1.12649649875762	1	1	1.11355517878789	1	NA	1	1	1.14620305504596	1	1	1	1	1	1	1	1	1.13407105105353	1	1.13400835853352	1
