	APC	AURKA_gain	TP53	KRAS	PTEN_loss	PIK3CA	CCND2_gain	CCND3_gain	ERBB2_gain	ARID1A	ATM	BRAF	SMAD4	SOX9	MLL2	BMPR2	ASPM	TCF7L2	FN1	PTEN	CREBBP	FBXW7	CDK12	GNAS	AKAP9	CTNNB1	TRIO	NRAS	CEP290	CHD4	MGA	NF1	PTPRU	AXIN2	ITSN1	CLSPN	MAP3K4	MECOM	RTN4	TBX3	TGFBR2	GATA3	SRGAP3	CTCF	LPHN2	SF3B1	CAD	CASP8	CUL1	PIK3R1
ATM	0.788788833049538	0.759098173022934	0.773356624124707	0.916556840876419	0.791503011384854	0.915166735735997	0.890630200799669	0.788914800722414	0.804382748814499	1.04713152844331	NA	0.992746037324061	0.895465393794749	0.937482718666892	0.98291955203375	1.01869437629288	0.992091119953233	0.89070451402781	0.963036303630363	0.962767777216446	0.979064665529129	0.937768828334866	1.03096639043776	0.98816467034977	1.02957123484459	0.989577187807276	1.02710846200779	0.904564032053217	1.00052516832263	0.966184806052283	1.01285459009569	0.918739261470862	0.921302518712779	1.02764301750477	0.978584930536362	0.992962225630872	0.993219895478234	0.993688812018113	1.04973498684047	0.932766540699199	1.04799704664639	0.994629995374483	0.935156776036833	0.945102183435886	1.01216569787998	0.907964010260461	1.11007321069332	1.0402498525828	0.962545868790324	0.919392684610076
BRAF	0.688489612577204	0.769932942023236	0.778732087275816	0.654697583840946	0.831966163524964	0.842039088816077	0.887414208706558	0.776500730016838	0.768479351955028	1.02474043315461	0.992746037324061	NA	0.851826785337267	0.899429463654012	1.11236682780307	1.13331652116726	0.994797473058343	0.840000800016	1.07683149714568	0.919537886510364	1.02429036761284	0.933157984679283	1.12082163958198	0.939905665267195	1.03634164150439	0.942745372662183	1.11276685639194	1.00180629087512	0.909090332704592	1.0173992605271	1.06722823906939	0.965951053697076	1.04042933810376	1.08904567154938	1.08870567156668	0.925560144967802	1.06201732109136	1.12310356179806	1.0605214694194	0.926505322844107	1.0593913113306	1.06073007080032	1.06041503981772	0.940999889636905	0.940972537874609	1.09073685654775	0.959633709849858	1.05000605918037	1.05421537294047	0.910478634895431
SMAD4	1.01372654986284	1.00170124331207	0.98252427184466	0.924071884589559	0.918068356594287	1.05176410648325	0.851505004210494	0.82208497099008	0.837898921450195	0.923179856684746	0.895465393794749	0.851826785337267	NA	0.901739749720216	0.986166654806803	0.828500635342811	0.965444484373672	0.925793911847378	0.921790931230309	0.921871022928793	0.887011859994215	0.88745506829619	0.941835265300655	0.890770418225203	0.944574786190745	0.865887916052127	0.946359041820563	1.00545503904441	0.88527445400624	0.910953196313676	0.879374904944439	0.883524147340757	0.979127878490936	0.887047310176097	0.920649432534678	0.891236776805537	0.995441375313888	0.92928225451343	0.929133432472624	0.928919618023711	0.891016865778266	0.895090254322589	0.931568016614746	0.943149964626475	0.900524140798946	0.901126046871701	0.913681241184767	0.913027352804822	0.960968641152268	0.960475184588071
SOX9	0.986673517433169	1.08101044972808	0.949357033731098	1.05748520822326	0.760086947088018	0.960355371337142	0.934408407481165	0.831640294343421	0.992100971476963	0.894116828445187	0.937482718666892	0.899429463654012	0.901739749720216	NA	0.819188333493236	0.897900322534382	0.872268145344161	0.894328773089235	0.886524937222953	0.861864898422065	0.868851045092525	0.94146771196204	0.949039836508791	0.899085956366574	0.950934812677396	0.87532388074921	0.906216444972858	0.906632264591063	0.894345552194001	0.888192334346181	0.971317560977552	0.892889640614142	0.891962882206785	0.927514428579229	0.927672281228767	0.935530953428045	0.900117076434186	0.93585579629651	0.93595839124091	0.899573851950573	1.00071178507186	1.0001003417007	0.937328928739972	0.909588966543156	0.909264221866513	0.909588966543156	0.921176249322373	1.05094855790167	0.921451630858288	0.921291109755421
MLL2	0.821887470650189	0.715703835734896	0.782613727769292	0.788431851237075	0.681671619289258	0.87016203799798	0.913281996150522	0.7741548717441	0.789685770273974	1.05061481894275	0.98291955203375	1.11236682780307	0.986166654806803	0.819188333493236	NA	1.04461360340514	1.06337097805242	0.945634342579975	1.01847508444343	0.868113672846894	1.03991620832587	0.875736609232186	1.05304196051351	0.906959345894782	1.0066530010429	0.909944816755053	1.00812116143104	0.914994387127813	0.927547412407586	1.03340341595186	1.03194798367212	1.03032850530736	1.05116955086845	1.04761060935873	0.99384041857741	1.00983970886463	1.07075682539153	1.01017981167892	1.01026337830512	1.0100546657929	0.943794537437569	1.01036615838166	1.06817972446715	1.03233292921295	0.916079644458367	1.030991485676	1.13780173423951	1.06102507863435	0.974759453660245	0.92763708940566
BMPR2	0.592702012855562	0.460704377952578	0.565664067774226	0.65543666016107	0.650886568286186	0.845491251682369	0.807090961636267	0.793742943023908	0.809025385189136	1.0216489404007	1.01869437629288	1.13331652116726	0.828500635342811	0.897900322534382	1.04461360340514	NA	0.987891840153147	0.955355821641483	1.02156561364447	0.949314879456338	1.03738691592659	0.89349659977326	1.08532353311426	0.96822700934632	1.01097690188599	1.01137927417366	1.01035464957077	0.928645545284559	0.981627183389298	1.03142483801979	1.13168887003819	1.02969022695002	0.914948639690197	1.08250468814918	1.08540189890284	1.01197502551722	0.95515670477683	1.10914860015187	1.11004801619586	0.922758494686335	1.06374047455981	1.10299897065797	1.0107890768973	1.02910985758733	0.966632946222636	1.02933386044673	0.982928832517226	1.11757068385079	0.982260279505614	0.941862278508241
ASPM	0.60032408681509	0.47180909815886	0.515022956665101	0.813216702715673	0.664794221636192	0.891701130410808	0.895614140027662	0.807832341099143	0.823037898797034	0.990235694125167	0.992091119953233	0.994797473058343	0.965444484373672	0.872268145344161	1.06337097805242	0.987891840153147	NA	0.925919713002688	0.989542796703187	0.988533809471754	0.9673334014834	0.906206793959349	0.973000697085277	0.907770177941006	0.973909125216147	0.97343688219452	0.975713156082339	0.93817473703079	0.950786306315181	0.924124533046466	1.02520996948641	0.950978471055505	0.997691508906462	0.955728026935823	0.998831247448725	1.08940607526069	1.01075116329315	1.05225808674085	1.01042170572206	0.934004288852929	0.961687938369553	0.963728599693561	1.05042996953109	0.941762643880697	0.972609488084806	0.941655429530008	0.985621094898272	1.04459464234126	0.986102795197428	0.951324605538729
TCF7L2	1.17950995549439	1.0354832015849	0.879640066390754	0.911706511126808	0.84921326014185	0.92708672401767	0.799878853072798	0.810509587005428	0.800448075716607	1.0286863063481	0.89070451402781	0.840000800016	0.925793911847378	0.894328773089235	0.945634342579975	0.955355821641483	0.925919713002688	NA	0.948700279939705	0.903860731516924	0.962424822455927	0.885761116179926	0.888014968051682	0.968334877973432	0.891907718713716	0.920075781716213	0.97212284978608	0.977472011261481	0.98161523309258	0.935361437056352	0.989888315820311	0.990553651065442	1.00330971139	0.912345810727688	0.944658859922769	0.952941035804174	0.952681410554146	0.916680970233525	1.01725525895383	0.916539211276053	0.95262821256556	0.955036203312065	0.920021974609772	0.966343377507959	0.926040231468724	0.926511697756991	0.982650339579552	0.983515714946684	0.93771299953946	0.938181055611623
FN1	0.62601463232387	0.729364862741206	0.640361338103508	0.703025714847449	0.806519859288569	0.939143401620276	0.931760985572172	0.845626682483917	0.859708973651016	0.957445887199239	0.963036303630363	1.07683149714568	0.921790931230309	0.886524937222953	1.01847508444343	1.02156561364447	0.989542796703187	0.948700279939705	NA	1.01510267664114	0.942722060701573	0.943149974171547	0.946943114969374	1.04203620568051	0.995839454662984	0.949186379915123	1.03532133198355	0.953476370008923	0.963239339890517	0.962863269940935	0.962520921679465	1.0118462692463	0.969090755626611	1.02265372168285	1.06815614534913	0.977835793382104	1.08694968553459	0.978521050778544	1.08831858002242	0.978400557668221	0.978507638940143	0.948441984654264	0.979913835241159	0.952959505647678	0.989885223340148	0.989596360056408	0.964344668207329	0.963902247842382	1.00459077752407	0.964247484478698
PTEN	0.792835725660582	0.545495272843637	0.719915412564099	0.890641944774846	0.864511623266487	0.982833960046333	0.931050148523502	0.845698617616817	0.833089024362399	0.998153744780876	0.962767777216446	0.919537886510364	0.921871022928793	0.861864898422065	0.868113672846894	0.949314879456338	0.988533809471754	0.903860731516924	1.01510267664114	NA	0.916107097322567	0.942961265878395	0.995408828311777	0.918207718207718	0.996355925315679	0.997433404627649	0.951746950133816	0.953789536261541	0.963145199419811	0.962662995914382	1.01203343535645	1.01138767093649	0.937714974805979	0.970643652154152	0.971218394019147	0.978767991576531	0.944909546676331	0.978543417048697	0.978727445394112	0.944961600853062	0.978899009176828	0.947920694150969	0.948564867967853	0.990123969989742	0.988963926865426	0.953579811422438	1.00470472521618	0.963195352681115	1.00456640431114	1.00356449820079
CREBBP	0.872004573019395	0.79657035615195	0.584088748210661	0.796071938098057	0.834057201685809	0.912532998771531	0.845797367147913	0.908175950828512	0.870037454773396	0.975959316771313	0.979064665529129	1.02429036761284	0.887011859994215	0.868851045092525	1.03991620832587	1.03738691592659	0.9673334014834	0.962424822455927	0.942722060701573	0.916107097322567	NA	0.952434046998486	1.00773857909283	0.955688739953502	0.957650467733273	0.958377401206305	1.08513380972397	0.962302549843223	0.970975813177648	0.971377956765728	1.02320458584695	0.945105427438121	0.978668974036398	0.979750522813958	0.948308845992558	0.988587974791347	0.98715278890206	0.986892317902771	1.04825340476206	0.952236758922927	0.95263097428961	0.988334836576043	0.955141565395838	0.998765198765199	0.961026147015294	0.960992477553992	1.0136546184739	0.972202475793602	1.01369334619094	0.972137860915244
