	PTEN_loss	CDK6_gain	MET_gain	CDKN2A_loss	TP53	MDM4_gain	PTEN	EGFR	CDK4_gain	CCND2_gain	MDM2_gain	PIK3CA	NF1	RB1	FGFR3_gain	IDH1	PIK3R1	KDR	ZNF814	MAP3K4	ANK3	BRCA1	CASP1	CHD8	CUL1	DIS3	HSP90AB1	KRAS	NFATC4	RPL5	SIN3A	SOS1	SOX9	SPTAN1
MDM2_gain	1.44183288163581	1.408028002149	1.34895194430815	1.35808626826356	0.95194341962648	0.987215189260249	0.787486710902559	0.958380055870318	1.77569901315789	1.60201461624785	NA	0.954263663967611	0.922751299891801	0.925821715526025	1.10004165905771	1.29557970542231	1.22726888724838	1	1	1	1.40278701241135	1	1	1	1	1	1	1.84316037735849	1	1	1	1	1	1
PIK3CA	1.25500967636423	1.2976468665246	1.38803469444006	1.16088162414778	1.03810118064259	1.08508477741632	0.877000107388316	0.974119290116829	0.984910997920285	0.911729922657846	0.954263663967611	NA	0.933932505234689	1.09577364484667	0.941944349833485	1.04389506178432	0.993540502793296	1.13148059279021	1.12580064764378	1	1	1	1	1	1	1.36398336164299	1	1	1.37526734790875	1.37274043005671	1	1	1	1
NF1	1.36583555743515	1.22491901676829	1.22986829364222	1.33979626102195	0.878331300401843	1.06276389453601	0.993180678779776	0.869469548022963	0.925849540335398	0.886352127860379	0.922751299891801	0.933932505234689	NA	1.11811440677966	0.95999799218087	0.990478559043215	1	1	1	1	1	1	1.35867228835979	1	1	1	1	1	1	1	1	1	1	1
RB1	1.46043808310297	1.40293677917074	1.40541438352946	0.506547415682533	1.32691690254089	0.826094546872903	1.3194072682692	1.0159755636396	0.881024585083421	0.941211327345309	0.925821715526025	1.09577364484667	1.11811440677966	NA	0.964948632940406	0.993326012267109	1.10232442316841	1	1	1	1	1.37762475296443	1	1	1.37356230422866	1	1	1	1	1	1.40256584448161	1	1	1
FGFR3_gain	1.56158296103366	1.59030074860724	1.59912949190121	1.19523112657279	1.14863949432445	1.01936588532324	1.02607363553417	1.12633073853915	1.13878398791541	1.24060298489441	1.10004165905771	0.941944349833485	0.95999799218087	0.964948632940406	NA	1.08108517473653	1.11439306702668	1	1	1.26833376402835	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IDH1	0.889094879205851	0.795611964119954	0.651356086997288	1.1446810597262	1.51173669220974	0.878826935279188	0.82154269841061	0.908024358769689	1.11635548285199	1.36626805135408	1.29557970542231	1.04389506178432	0.990478559043215	0.993326012267109	1.08108517473653	NA	1	1	1	1	1	1	1	1	1	1	1	1	1.44438428217822	1	1	1	1	1
PIK3R1	1.54782284987039	1.37295551922937	1.18301047593937	1.20930436170618	0.894634075788256	0.838557815729813	1.22700295565466	1.00942435260023	1.17531765305831	1.1851927997076	1.22726888724838	0.993540502793296	1	1.10232442316841	1.11439306702668	1	NA	1	1.22032015931373	1	1	1	1	1	1	1	1	1	1	1.45626950078003	1	1	1.50202645051195	1
KDR	1.53855276347632	1.57698955641597	1.58604506360188	1.58802599009901	0.851709981817821	0.873961414902468	1.1964535683781	1.07276650227618	0.970815267618373	0.981629035542789	1	1.13148059279021	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ZNF814	1.25038104314093	1.5594415206151	1.56854373290014	1.58826536251105	0.852328002519597	0.981690644274142	0.987734234739677	0.962719603368952	0.972324757736481	0.984050506046267	1	1.12580064764378	1	1	1	1	1.22032015931373	1	NA	1	1	1	1	1	1	1	1	1	1.5552662037037	1	1	1	1.49054276315789	1
MAP3K4	1.04525005899937	0.632251362019124	0.654713904430235	1.13031438330115	0.921252490039841	0.9490404264343	0.952793383270911	1.19604018307285	1	1	1	1	1	1	1.26833376402835	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANK3	1.51781963881959	1.54833537156536	1.52809569988384	1.57007807048151	0.995539655679812	1.27638354459031	1	1.34746570121951	1.36347507753101	1	1.40278701241135	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1
BRCA1	1.52131722596717	1.54890703092461	1.57112426653247	1.58480272731281	1.22527329073561	1	1.27175700800915	1.35443177024747	1.35659362672584	1	1	1	1	1.37762475296443	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1.66566564306358	1	1	1
CASP1	1.54534738499126	1.55823470521637	1.56480751193724	1.59174580046095	0.997679455445545	1	1	1	1	1	1	1	1.35867228835979	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1
CHD8	1.50809352735615	1.54616740013717	1.55659013740571	1.56427772711482	1	1.27348672367237	1.28202230369245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1
CUL1	1.52131722596717	0.863419885177453	0.877135496102356	0.898522617523222	1.22863234561753	1	1.28133204492415	1.35029914033457	1	1.38334851764577	1	1	1	1.37356230422866	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1
DIS3	0.788217905405405	0.877803735828148	0.888291745607992	1.55658379025991	0.997495795409577	1	1.28690885355204	1	1	1	1	1.36398336164299	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1
HSP90AB1	1.50510167117465	0.863362140948564	0.87340089639336	0.903606652379286	1.68625982070911	1.2794280915509	1.28410474360479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1
KRAS	1.5362864221415	1.57146112469308	1.57607784559835	1.55738346725419	1	1.28159309240622	1	1	1.78773527992278	1.81713918890301	1.84316037735849	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1
NFATC4	0.433991788231357	0.86719405961377	0.905351765860761	0.902431070991967	1.21721724456099	1	1	1	1	1	1	1.37526734790875	1	1	1	1.44438428217822	1	1	1.5552662037037	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1
RPL5	1.53651736001422	1.54776418799417	1.54089798263802	1.57147768948655	1	1	1.27054503823328	1	1	1	1	1.37274043005671	1	1	1	1	1.45626950078003	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1
SIN3A	1.52052596762225	0.855033719683221	0.877829463528414	1.57946459943781	1.22790187450278	1	1.27509360599078	1	1	1	1	1	1	1.40256584448161	1	1	1	1	1	1	1	1.66566564306358	1	1	1	1	1	1	1	1	NA	1	1	1
SOS1	1.49380205138772	1.55823470521637	1.56283092539378	1.57698788908373	1.22681051587302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1
SOX9	1.51355527052239	1.54049480244639	1.56086005249958	1.56151141879009	0.997587589073634	1.2896162561004	1	1	1	1	1	1	1	1	1	1	1.50202645051195	1	1.49054276315789	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1
SPTAN1	1.52767859771175	1.56921954247675	1.57359659261564	0.913525069900586	1.22753750993641	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA
